cellarURIs,lang,mtypes,workTypes,subjects,subject_ids
http://publications.europa.eu/resource/cellar/ac77984c-f55d-11e4-a3bf-01aa75ed71a1,ENG,xhtml,http://publications.europa.eu/ontology/cdm#act_preparatory,money laundering,http://eurovoc.europa.eu/5465
http://publications.europa.eu/resource/cellar/3b729ddf-f1f7-11e3-8cd4-01aa75ed71a1,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation,credit institution|financial instrument|financial legislation|financial transaction,http://eurovoc.europa.eu/1459|http://eurovoc.europa.eu/3246|http://eurovoc.europa.eu/4491|http://eurovoc.europa.eu/560
http://publications.europa.eu/resource/cellar/46dc14fd-799d-4808-9410-3d2e1a47e4f6,ENG,html,http://publications.europa.eu/ontology/cdm#regulation,import price,http://eurovoc.europa.eu/2635
http://publications.europa.eu/resource/cellar/3a795841-eafe-42db-9cf4-d5c90e8d4e51,ENG,xhtml,http://publications.europa.eu/ontology/cdm#act_preparatory,capital movement,http://eurovoc.europa.eu/2002
http://publications.europa.eu/resource/cellar/9e523b74-56c7-446d-b313-6eedad8321c1,ENG,html,http://publications.europa.eu/ontology/cdm#act_preparatory,excise duty,http://eurovoc.europa.eu/1015
http://publications.europa.eu/resource/cellar/44ce5f40-4321-4027-bdf9-1af8603bd3e1,ENG,xhtml,http://publications.europa.eu/ontology/cdm#act_preparatory,investment,http://eurovoc.europa.eu/1488
http://publications.europa.eu/resource/cellar/641b5e7e-b0f3-43a7-8c73-dbb209b99d45,ENG,html,http://publications.europa.eu/ontology/cdm#regulation,price fixed in advance,http://eurovoc.europa.eu/2670
http://publications.europa.eu/resource/cellar/09486467-29bc-4c14-a688-a125bbb7bee6,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation,import price,http://eurovoc.europa.eu/2635
http://publications.europa.eu/resource/cellar/be4f0bc6-22e8-4055-a12b-2fa76387ee5d,ENG,html,http://publications.europa.eu/ontology/cdm#decision,interest rate subsidy,http://eurovoc.europa.eu/5023
http://publications.europa.eu/resource/cellar/a23415e1-c0c5-49ea-abb8-00959a726aa7,ENG,html,http://publications.europa.eu/ontology/cdm#act_preparatory,excise duty,http://eurovoc.europa.eu/1015
http://publications.europa.eu/resource/cellar/77448ec5-b403-11e3-86f9-01aa75ed71a1,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation,import price,http://eurovoc.europa.eu/2635
http://publications.europa.eu/resource/cellar/c8164c41-7d21-4c7d-aadd-f5f02fc4ab01,ENG,xhtml,http://publications.europa.eu/ontology/cdm#act_preparatory,tax exemption,http://eurovoc.europa.eu/935
http://publications.europa.eu/resource/cellar/decd2bcf-2c89-46a2-a1fc-acf6a8fc6460,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation,world market price,http://eurovoc.europa.eu/2668
http://publications.europa.eu/resource/cellar/91b6abcd-d1f3-49b2-8f20-a519426ee9dc,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation|http://publications.europa.eu/ontology/cdm#regulation_implementing,representative price,http://eurovoc.europa.eu/2687
http://publications.europa.eu/resource/cellar/d4126790-00c5-11e3-a352-01aa75ed71a1,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation,import price,http://eurovoc.europa.eu/2635
http://publications.europa.eu/resource/cellar/51c14246-71c2-4685-8032-a25cd5735c64,ENG,html,http://publications.europa.eu/ontology/cdm#regulation,common price policy|producer price,http://eurovoc.europa.eu/2456|http://eurovoc.europa.eu/2638
